YEAR,COUNTYFIPS,COUNTY,STATE,lon,lat,albumin_urine,color_albu_urine,bun,color_bun,creatinine_serum,color_crea_serum,creatinine_urine,color_crea_urine,ACS_PCT_INC50_ABOVE65,color_ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,color_ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,color_ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,color_ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,color_ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,color_ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_PUB_ASSIST,color_ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,color_ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,color_ACS_PCT_BACHELOR_DGR,ACS_PCT_GRADUATE_DGR,color_ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,color_ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,color_ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,color_ACS_PCT_POSTHS_ED,ACS_TOT_CIVIL_EMPLOY_POP,color_ACS_TOT_CIVIL_EMPLOY_POP,ACS_PCT_UNINSURED,color_ACS_PCT_UNINSURED,HIFLD_MIN_DIST_UC,color_HIFLD_MIN_DIST_UC,POS_MIN_DIST_ED,color_POS_MIN_DIST_ED,POS_MIN_DIST_ALC,color_POS_MIN_DIST_ALC,ACS_PCT_DISABLE,color_ACS_PCT_DISABLE,ACS_PCT_NONVET_DISABLE_18_64,color_ACS_PCT_NONVET_DISABLE_18_64,ACS_PCT_VET_DISABLE_18_64,color_ACS_PCT_VET_DISABLE_18_64,MMD_ANXIETY_DISD,color_MMD_ANXIETY_DISD,MMD_DEPR_DISD,color_MMD_DEPR_DISD
2020,72021,Bayamón,Puerto Rico,-66.165,18.35,9.769815326381098,"rgb(247,123,39)",17.28882345434824,"rgb(247,123,39)",0.89873984780859,"rgb(253,174,107)",122.36924496898168,"rgb(253,174,107)",10.86,6241433,31.48,6967715,46.2,4787846,17.07,14342891,26.68,16579581,10.05,16119033,31.59,4787846,28.62,16119033,21.39,16119033,7.88,16119033,23.86,4128893,18.25,4787846,57.89,16579581,63810.0,16579581,8.16,15724021,2.36,6241433,0.08,4128893,0.2,4128893,26.87,15724021,20.53,15000560,38.19,12369372,7.0,6241433.0,12.0,8420794.0
2020,72023,Cabo Rojo,Puerto Rico,-67.145,18.03,6.1992601106594405,"rgb(254,230,206)",17.85425338883552,"rgb(191,63,2)",0.9228401748384644,"rgb(241,105,19)",111.07502104630188,"rgb(254,230,206)",22.46,16119033,39.96,12369372,66.48,15000560,12.6,4787846,16.54,8420794,4.38,11381714,40.03,5515151,20.04,6967715,19.56,15000560,6.25,13356003,25.67,5515151,28.48,15000560,45.86,12369372,13634.0,15000560,4.98,6967715,22.29,16579581,0.72,6967715,0.72,4787846,15.76,6241433,10.2,5515151,33.88,11381714,11.0,9407425.0,12.0,8420794.0
2020,72025,Caguas,Puerto Rico,-66.05,18.225,5.240023658395846,"rgb(255,237,220.5)",17.37949702789209,"rgb(229,88,10)",0.9219595251600357,"rgb(247,123,39)",98.93745264532984,"rgb(255,237,220.5)",11.37,6241433,30.6,6967715,47.73,4787846,16.37,11381714,25.3,16119033,10.6,16119033,37.12,5515151,23.33,13356003,22.93,16579581,9.7,16119033,26.68,6241433,17.36,4787846,55.96,16119033,45594.0,16579581,6.81,13356003,0.17,4128893,0.17,4787846,3.89,5515151,23.78,13356003,18.54,13356003,28.65,9407425,9.0,7694254.0,11.0,7694254.0
2020,72027,Camuy,Puerto Rico,-66.865,18.425,6.476930878552972,"rgb(254,230,206)",19.91848289315726,"rgb(127,39,4)",1.0575669191919193,"rgb(127,39,4)",113.18781201848998,"rgb(254,219,184)",13.78,8420794,39.23,11381714,61.84,11381714,14.38,7694254,19.02,12369372,4.76,12369372,51.19,12369372,25.99,15000560,15.9,9407425,5.67,11381714,24.97,4787846,27.48,13356003,47.56,15000560,9257.0,11381714,5.38,8420794,16.73,16119033,7.24,15724021,28.86,16119033,16.68,6967715,13.82,6967715,62.32,16119033,13.0,11381714.0,16.0,12369372.0
2020,72029,Canóvanas,Puerto Rico,-65.885,18.33,11.193220395840324,"rgb(241,105,19)",16.99128991859737,"rgb(253,157,83)",0.8880324623911322,"rgb(253,208,162)",132.98408069883527,"rgb(217,72,1)",10.23,5515151,31.77,7694254,55.27,6241433,16.55,12369372,18.74,12369372,9.45,15724021,47.27,9407425,21.97,10394312,16.44,11381714,7.47,15724021,30.25,11381714,23.86,8420794,45.89,13356003,14698.0,15000560,11.29,16579581,0.24,4128893,4.75,13356003,11.84,10394312,19.42,7694254,14.47,7694254,10.35,5515151,0.0,4128893.0,0.0,4128893.0
2020,72031,Carolina,Puerto Rico,-65.955,18.385,12.279690352762676,"rgb(229,88,10)",16.274845808102878,"rgb(254,219,184)",0.8871767886200199,"rgb(254,219,184)",122.61746098915631,"rgb(253,174,107)",9.43,4787846,26.41,5515151,42.78,4128893,18.78,15724021,28.1,16579581,10.33,16119033,29.61,4128893,26.86,16119033,24.11,16579581,9.05,16119033,26.02,6241433,13.96,4128893,60.02,16579581,57707.0,16579581,8.28,15724021,1.27,5515151,0.32,5515151,4.97,6241433,21.0,9407425,14.2,7694254,28.84,9407425,9.0,7694254.0,9.0,6241433.0
2020,72033,Cataño,Puerto Rico,-66.145,18.435,14.645995623632386,"rgb(191,63,2)",16.775494211932322,"rgb(253,191,134)",0.9061080332409972,"rgb(253,157,83)",122.41681440443212,"rgb(253,174,107)",16.58,13356003,45.71,15724021,57.73,6967715,14.87,8420794,17.82,11381714,9.58,16119033,45.36,7694254,22.42,11381714,13.83,5515151,6.54,14342891,32.87,15000560,24.34,9407425,42.78,7694254,7525.0,9407425,7.5,15000560,5.6,8420794,2.19,7694254,2.28,4787846,21.57,10394312,17.41,11381714,8.21,4787846,6.0,5515151.0,11.0,7694254.0
2020,72035,Cayey,Puerto Rico,-66.145,18.105,9.696931791889345,"rgb(253,141,60)",18.22085629057729,"rgb(166,54,3)",0.9564286312264546,"rgb(191,63,2)",125.94655870445344,"rgb(247,123,39)",10.79,6241433,33.7,8420794,53.1,5515151,14.66,7694254,23.49,15724021,8.75,15724021,37.63,5515151,19.97,6967715,18.99,15000560,7.23,15000560,31.5,12369372,22.31,6967715,46.2,14342891,13357.0,14342891,7.07,14342891,4.7,6967715,0.39,6241433,2.65,4787846,31.86,16579581,29.81,16579581,51.09,15724021,15.0,13356003.0,19.0,15000560.0
2020,72037,Ceiba,Puerto Rico,-65.66,18.245,8.702062440870389,"rgb(253,191,134)",17.43105359317905,"rgb(229,88,10)",0.8963530408984955,"rgb(253,191,134)",128.05862903225807,"rgb(241,105,19)",14.68,10394312,25.57,4787846,60.01,8420794,22.92,16579581,11.82,4787846,5.26,13356003,45.72,8420794,23.29,13356003,16.04,10394312,3.6,6967715,31.04,12369372,26.03,11381714,42.93,8420794,3356.0,4787846,5.23,7694254,17.08,16119033,3.84,10394312,29.96,16579581,9.56,4787846,5.15,4128893,10.13,4787846,6.0,5515151.0,8.0,5515151.0
2020,72039,Ciales,Puerto Rico,-66.515,18.3,10.422283508338484,"rgb(247,123,39)",17.7506107275624,"rgb(217,72,1)",0.9195315141270224,"rgb(247,123,39)",126.38632653061224,"rgb(247,123,39)",20.31,15000560,33.24,8420794,68.43,15724021,18.27,15000560,10.84,4128893,2.46,5515151,57.32,16579581,23.47,13356003,12.36,4128893,3.19,5515151,29.89,10394312,31.09,16119033,39.02,5515151,3674.0,4787846,4.25,5515151,6.38,9407425,6.38,15724021,18.0,14342891,28.15,16119033,23.0,16119033,100.0,16579581,10.0,8420794.0,13.0,9407425.0
